清华大学,2,985,清华
清华大学,2,985,Tsinghua University
清华大学,2,985,THU
北京大学,1,985,北大
北京大学,1,985,Beijing University
北京大学,1,985,PKU
中国科学技术大学,14,985,中国科大
中国科学技术大学,14,985,中科大
中国科学技术大学,14,985,China Science & Technology University
中国科学技术大学,14,985,USTC
复旦大学,5,985,复旦
复旦大学,5,985,Fudan University
复旦大学,5,985,FDU
中国人民大学,15,985,人大
中国人民大学,15,985,人民大学
中国人民大学,15,985,Renmin University Of China
中国人民大学,15,985,RUC
上海交通大学,4,985,上海交大
上海交通大学,4,985,Shanghai Jiao Tong University
上海交通大学,4,985,SJTU
南京大学,11,985,南大
南京大学,11,985,Nanjing University
南京大学,11,985,NJU
同济大学,17,985,同济
同济大学,17,985,Tongji University
同济大学,17,985,Tongji
浙江大学,3,985,浙大
浙江大学,3,985,Zhejiang University
浙江大学,3,985,ZJU
南开大学,27,985,南开
南开大学,27,985,Nankai University
南开大学,27,985,NKU
北京航空航天大学,21,985,北航
北京航空航天大学,21,985,Beihang University
北京航空航天大学,21,985,BUAA
北京师范大学,23,985,北师
北京师范大学,23,985,北师大
北京师范大学,23,985,Beijing Normal University
北京师范大学,23,985,BNU
武汉大学,6,985,武大
武汉大学,6,985,Wuhan University
武汉大学,6,985,WHU
西安交通大学,13,985,西安交大
西安交通大学,13,985,Xi’an Jiaotong University
西安交通大学,13,985,XJTU
天津大学,22,985,天大
天津大学,22,985,University Of Tianjin
天津大学,22,985,TJU
华中科技大学,8,985,华中大
华中科技大学,8,985,Central China University Science and Technology
华中科技大学,8,985,HUST
北京理工大学,24,985,北理
北京理工大学,24,985,Beijing Institute of Technology
北京理工大学,24,985,BIT
东南大学,20,985,东大
东南大学,20,985,Southeast China University
东南大学,20,985,SEU
中山大学,9,985,中大
中山大学,9,985,Zhongshan University
中山大学,9,985,SYSU
华东师范大学,30,985,华师大
华东师范大学,30,985,East China Normal University
华东师范大学,30,985,ECNU
哈尔滨工业大学,10,985,哈工大
哈尔滨工业大学,10,985,Harbin Institute Of Technology
哈尔滨工业大学,10,985,HIT
厦门大学,28,985,厦大
厦门大学,28,985,Xiamen University
厦门大学,28,985,XMU
西北工业大学,31,985,西工大
西北工业大学,31,985,西北工大
西北工业大学,31,985,Northwestern Polytechnical University
西北工业大学,31,985,NPU
中南大学,19,985,中南
中南大学,19,985,Middle and Southern University
中南大学,19,985,CSU
大连理工大学,26,985,大工
大连理工大学,26,985,Institute Of Technology Of Dalian
大连理工大学,26,985,DUT
四川大学,7,985,川大
四川大学,7,985,Sichuan University
四川大学,7,985,SCU
电子科技大学,32,985,电子科大
电子科技大学,32,985,University of Electronic Science and Technology of China
电子科技大学,32,985,UESTC
华南理工大学,25,985,华南理工
华南理工大学,25,985,Institutes Of Technology Of South China
